Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 17, 2017, 5:43:02 PM",Kudos,Activity,1234587308
"Oct 23, 2017, 3:14:11 PM",Kudos,Activity,1243279036
"Oct 26, 2017, 8:27:52 PM",Kudos,Activity,1247506351
"Dec 19, 2017, 2:06:49 AM",Kudos,Activity,1317452417
"Sep 1, 2018, 4:14:44 PM",Kudos,Activity,1812090945
"Mar 17, 2019, 2:23:44 AM",Kudos,Activity,2217689425
"Mar 17, 2019, 4:27:05 PM",Kudos,Activity,2219658335
"Mar 17, 2019, 4:27:06 PM",Kudos,Activity,2219659979
"Mar 17, 2019, 6:30:58 PM",Kudos,Activity,2220498254
"Mar 17, 2019, 6:30:59 PM",Kudos,Activity,2220653001
"Mar 24, 2019, 2:26:40 PM",Kudos,Activity,2237199474
"Mar 24, 2019, 2:27:07 PM",Kudos,Activity,2237261070
"Mar 24, 2019, 2:27:59 PM",Kudos,Activity,2235051587
"Mar 24, 2019, 2:28:14 PM",Kudos,Activity,2234935179
"Mar 24, 2019, 2:29:19 PM",Kudos,Activity,2234514104
"Mar 26, 2019, 10:14:31 PM",Kudos,Activity,2242414202
"Mar 26, 2019, 10:14:46 PM",Kudos,Activity,2242100709
"Apr 6, 2019, 6:40:00 PM",Kudos,Activity,2269415375
"Apr 6, 2019, 6:40:05 PM",Kudos,Activity,2269047197
"Apr 8, 2019, 9:53:51 PM",Kudos,Activity,2272990268
"Apr 8, 2019, 9:55:04 PM",Kudos,Activity,2272214830
"Apr 8, 2019, 9:57:03 PM",Kudos,Activity,2274715987
"Apr 8, 2019, 9:58:15 PM",Kudos,Activity,2272969875
"Apr 8, 2019, 9:58:20 PM",Kudos,Activity,2272936287
"Apr 8, 2019, 9:59:43 PM",Kudos,Activity,2272179686
"May 18, 2019, 4:20:56 PM",Kudos,Activity,2377401934
"May 18, 2019, 4:21:20 PM",Kudos,Activity,2377150065
"May 18, 2019, 4:21:35 PM",Kudos,Activity,2376903398
"May 19, 2019, 2:39:13 PM",Kudos,Activity,2378518548
